Concurso;Local;Data do Sorteio;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Coluna 6;Ganhadores Faixa 1;Ganhadores Faixa 2;Ganhadores Faixa 3;Rateio Faixa 1;Rateio Faixa 2;Rateio Faixa 3;Cidade;;Valor Arrecadado;Estimativa para o próximo concurso;Valor Acumulado Próximo Concurso;Acumulado;Sorteio Especial;Observação
;;;;;;;;;;;;;;;;;;;;;;
101;;08/02/1998;1;18;29;31;37;39;0;52;4653;0;20589,41;229,64;;;0;0;0;SIM;SIM;A MEGA EST- A C U M U L A D A ! ! !
;;;;;;;;;;;;;;;;;;;;;;
102;;15/02/1998;19;20;37;42;44;56;1;73;6197;11336626,88;16743,36;196,85;;;0;0;0;NAO;SIM;Ganhador da SENA do Estado de Minas Gerais.
;;;;;;;;;;;;;;;;;;;;;;
103;;22/02/1998;1;7;9;49;54;57;1;28;2632;696984,24;20743,58;220,24;;;0;0;0;NAO;SIM;GANHADOR DA SENA DO ESTADO DO PARAN-
;;;;;;;;;;;;;;;;;;;;;;
104;;01/03/1998;1;4;13;21;38;52;0;37;2588;0;14006,33;199,85;;;0;0;0;SIM;SIM;A C U M U L O U !!!
;;;;;;;;;;;;;;;;;;;;;;
105;;08/03/1998;3;13;31;43;46;49;0;55;4875;0;11824,08;133,14;;;0;0;0;SIM;SIM;A MEGA-SENA EST- ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
106;BrasÃ­lia, DF;15/03/1998;5;16;24;35;38;39;0;94;5390;0;7678,27;133,65;;;9795278;3000000;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
107;;22/03/1998;2;4;16;24;51;52;0;35;3554;0;21494,23;211,26;;;0;0;0;SIM;SIM;A MEGA EST- ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
108;;29/03/1998;21;24;29;34;59;60;0;35;2453;0;22511,72;320,57;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
109;;04/04/1998;1;13;44;48;49;54;0;39;3881;0;21153,3;212,15;;;0;0;0;SIM;SIM;A MEGA-SENA EST- ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
110;;11/04/1998;18;31;43;52;57;58;0;35;3212;0;27771,48;302,01;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
111;;18/04/1998;4;22;25;32;33;52;0;68;6109;0;18082,94;200,88;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
112;;25/04/1998;12;20;34;37;42;43;1;137;8340;15802579,93;9957,01;163,25;;;0;0;0;NAO;SIM;"01 GANHADOR DO ESTADO DO ""RIO GRANDE DO NORTE"""
;;;;;;;;;;;;;;;;;;;;;;
113;;02/05/1998;7;26;28;34;54;55;0;38;2572;0;14269,55;210,4;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
114;;09/05/1998;6;12;18;37;47;54;0;71;4908;0;9626,08;138,99;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
115;;16/05/1998;4;6;14;20;24;38;0;78;5091;0;9283,1;141,95;;;0;0;0;SIM;SIM;A MEGA-SENA EST- ACUMULADA !!!
;;;;;;;;;;;;;;;;;;;;;;
116;BRASÃLIA, DF;23/05/1998;5;13;32;36;42;51;0;64;5270;0;11956,28;144,91;;;10384878;4200000;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
117;;30/05/1998;20;25;27;33;42;53;0;36;3822;0;22046,87;207,26;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
118;;06/06/1998;9;22;25;37;56;57;0;53;4342;0;16052,88;195,56;;;0;0;0;SIM;SIM;A MEGA-SENA EST- ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
119;;13/06/1998;1;21;36;38;47;50;0;21;2691;0;38921,16;303,13;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
120;;20/06/1998;3;16;27;40;45;46;0;92;7073;0;13020,97;169,04;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
121;;27/06/1998;2;29;41;44;53;55;0;45;4554;0;28917;285,17;;;0;0;0;SIM;SIM;A MEGA-SENA EST- ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
122;;04/07/1998;11;17;20;39;43;53;0;83;7203;0;18210,45;209,43;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
123;;11/07/1998;13;14;16;26;32;42;0;176;13159;0;12440,56;166,06;;;0;0;0;SIM;SIM;A MEGA-SENA ACUMULOU (11Â¬ Vez)
;;;;;;;;;;;;;;;;;;;;;;
124;;18/07/1998;5;15;34;41;52;57;1;188;14019;24536288,72;17242,12;230,76;;;0;0;0;NAO;SIM;O PREMIO PRINCIPAL SAIU PARA A CIDADE DE VILA VELHA NO ESTADO DO ESPIRITO SANTO.
;;;;;;;;;;;;;;;;;;;;;;
125;;25/07/1998;25;41;47;53;56;59;0;46;2784;0;15425,68;254,38;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
126;;01/08/1998;6;10;11;28;32;40;0;83;5510;0;10052,56;151,13;;;0;0;0;SIM;SIM;A MEGA-SENA EST- ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
127;;08/08/1998;21;29;50;51;54;59;0;40;2613;0;23638,47;361,14;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
